##***************************************************************
##* Biped_Mixamo_name_mapping.csv
##* This file is part of the Mixamo Auto Biped script.
##*
##* This file defines a list of name mapping
##* from the original bones to the biped bones.
##*
##* 
##* by Mixamo - author Ofer Zelichover 
##* 
##***************************************************************

"Bip01";"CharName:Hips"
"Bip01 Pelvis";
"Bip01 Spine";"CharName:Spine"
"Bip01 Spine1";"CharName:Spine1"
"Bip01 Spine2";"CharName:Spine2"
"Bip01 Spine3";
"Bip01 Neck";"CharName:Neck"
"Bip01 Neck1";"CharName:Neck1"
"Bip01 L Clavicle";"CharName:LeftShoulder"
"Bip01 L UpperArm";"CharName:LeftArm"
"Bip01 L Forearm";"CharName:LeftForeArm"
"Bip01 L Hand";"CharName:LeftHand"
"Bip01 R Clavicle";"CharName:RightShoulder"
"Bip01 R UpperArm";"CharName:RightArm"
"Bip01 R Forearm";"CharName:RightForeArm"
"Bip01 R Hand";"CharName:RightHand"
"Bip01 Head";"CharName:Head"
"Bip01 HeadNub";"CharName:HeadTop_End"
"Bip01 L Thigh";"CharName:LeftUpLeg"
"Bip01 L Calf";"CharName:LeftLeg"
"Bip01 L Foot";"CharName:LeftFoot"
"Bip01 L Toe0";"CharName:LeftToeBase"
"Bip01 L Toe01";
"Bip01 L Toe02";
"Bip01 L Toe0Nub";"CharName:LeftToe_End"
"Bip01 L Toe0Nub";"CharName:LeftFootToeBase_End"
"Bip01 R Thigh";"CharName:RightUpLeg"
"Bip01 R Calf";"CharName:RightLeg"
"Bip01 R Foot";"CharName:RightFoot"
"Bip01 R Toe0";"CharName:RightToeBase"
"Bip01 R Toe01";
"Bip01 R Toe02";
"Bip01 R Toe0Nub";"CharName:RightToe_End"
"Bip01 R Toe0Nub";"CharName:RightFootToeBase_End"
